,0
0,1.6 MSI 5Ptas. Trendline (101cv) (L17)
1,1.6 3Ptas. Power
2,Allure 1.6 HDI NAV (115cv) 5Ptas. (L16)
3,1.6 3Ptas. Trendline / Pack I (101cv) 
4,1.6 Expression / Confort AA LV2 TRF 2ABG RACK TECH 2PLC
5,1.6 N 16v Feline Tiptronic (115cv) (L18)
6,XEI 1.8 CVT (140cv) (L18)
7,4x4 CD SRX 2.8 TDI 6MT (177cv) (L16)
8,1.6 Titanium Powershift (120cv) 5Ptas.
9,2.0 Trendline MT
10,EL 1.4 Pack Attractive Seguridad / Emotion (L10)
11,1.6 Allure (L20)
12,1.8 LTZ+ AT 4x4 (140cv)
13,1.0 Fly Viral (L/08)
14,XEI 1.8 MT Cuero (140cv) (L18)
15,1.4 8v LTZ MT (98cv)
16,1.6 N 16v Allure Tiptronic (115cv) (L18)
17,2.5 R5 Luxury MT (170cv) (L11)
18,Fire 1.4 Pack Confort 5Ptas.
19,4Ptas. 1.4 N LS ABS ABC
20,Variant 1.4 TSI Comfortline DSG(150cv) (L15)
21,1.6 S MT (125cv) 4Ptas.
22,1.8 AT Sport (128cv) (L19)
23,1.3 Fire Confort AA DA
24,1.4 LS / LS Spirit 5Ptas.
25,Compact 5Ptas. 1.4 N Allure / XS (75cv) 
26,1.6 XLT Free Style
27,1.4 8v LTZ AT (98cv)
28,PH3 1.6 Authentique 1PLC
29,Attractive 1.4 5Ptas. (85cv) (L12)
30,2.0 TDI (140cv) 4x2 C/Simple Startline
31,1.8 LT MT (141cv) 4Ptas. 
32,Fase 2 - 4Ptas. 1.6 Pack Plus (L07) / Authentique Pack
33,4x2 CD SRV 2.8 TDI 6MT Pack (177cv) (L16)
34,3.2 TDCi C/Doble 4x2 XLT 6MT (200cv) (L20)
35,Furgón 1.6 Hdi Confort ABG (90cv) (L10)
36,2.0 TDI (180cv) 4x2 C/Doble Trendline AT
37,1.4 8v LT MT (98cv)
38,Compact 5Ptas. 1.4 HDI Allure / XS (70cv) 
39,1.6 N 16v Feline Pack Cuir (115cv) 
40,1.9D Expression / Confort AA 2ABG RACK TECH 2PLC
