iter	RMSE
0	1609396.094
1	1489994.605
2	1387056.252
3	1293818.241
4	1212379.547
5	1138293.642
6	1075918.264
7	1020710.518
8	972636.143
9	928948.014
10	891017.8794
11	858228.2947
12	830114.2808
13	806344.715
14	785118.4335
15	765534.3418
16	745986.0764
17	730010.2743
18	718025.0441
19	705303.4723
20	692688.5154
21	682941.2183
22	674872.6813
23	665486.8322
24	657407.0884
25	650487.7322
26	641677.2007
27	633746.9159
28	626922.8957
29	621062.0763
30	616859.6815
31	612320.1483
32	607518.3801
33	602957.8814
34	599102.1172
35	597255.0468
36	593263.9197
37	589109.1379
38	586257.0732
39	582273.0046
40	579466.876
41	577028.0141
42	573135.309
43	571259.2348
44	569739.6578
45	567111.8821
46	564860.3034
47	561971.9814
48	559316.5699
49	557644.2203
50	555138.5086
51	553019.4249
52	550122.4884
53	547699.171
54	544749.2476
55	543442.3235
56	540387.5096
57	538081.7229
58	536759.7202
59	535721.3508
60	533892.1319
61	531839.7821
62	530960.923
63	527846.5649
64	526565.5512
65	524955.0175
66	521581.6175
67	520044.4475
68	518544.8957
69	516859.5709
70	516231.463
71	514962.5074
72	514729.5187
73	511874.4092
74	510605.7874
75	508461.9376
76	507537.6172
77	505113.3516
78	503645.3224
79	502822.7537
80	501835.665
81	499469.5153
82	498749.3116
83	498332.68
84	496870.652
85	494426.9183
86	492933.9447
87	492354.1988
88	491006.0215
89	489837.143
90	487912.7837
91	486767.9771
92	485631.3138
93	484880.8338
94	483310.2725
95	482059.2999
96	480271.4927
97	479433.915
98	478666.9619
99	476474.8568
100	474862.3058
101	473745.3633
102	472619.1445
103	471916.9375
104	469638.8369
105	468802.5012
106	468042.5809
107	467135.6453
108	465435.9886
109	464223.4514
110	462817.1106
111	461696.2967
112	460837.5526
113	459748.1869
114	459136.9448
115	458073.3268
116	456614.5293
117	455517.6305
118	454492.6327
119	453293.1147
120	452480.4948
121	451464.6702
122	450665.7453
123	449942.4561
124	448617.6663
125	447531.1612
126	446571.7685
127	445574.5029
128	444705.2179
129	444242.5127
130	443263.6116
131	442018.0623
132	440889.9299
133	440486.0199
134	439669.1659
135	438782.9561
136	438041.9314
137	437624.7995
138	434802.5635
139	434258.8417
140	433801.7109
141	432966.2628
142	432477.4629
143	432018.3279
144	431626.4642
145	430942.7871
146	430518.3886
147	427804.7857
148	427061.0293
149	425968.8935
150	425697.5281
151	425069.3584
152	424682.1196
153	424001.7787
154	423643.3337
155	421495.8814
156	420875.9682
157	420595.5829
158	420041.7369
159	419308.8377
160	418590.623
161	418053.364
162	417638.0182
163	416532.7579
164	415965.9216
165	415388.9308
166	414568.3932
167	414239.3967
168	413637.4908
169	412644.663
170	412311.7373
171	411175.8528
172	410927.9015
173	410272.9081
174	409588.6146
175	409127.6378
176	408508.37
177	407924.5149
178	407587.7408
179	406706.3773
180	405965.7749
181	404942.8155
182	404585.7595
183	404075.486
184	403455.4403
185	402476.7649
186	402129.302
187	401181.6628
188	400835.1387
189	400176.7339
190	399684.0418
191	399286.1364
192	398620.1727
193	397864.6421
194	397636.6327
195	397033.5418
196	396288.3813
197	395813.454
198	394860.5576
199	394498.071
200	394074.9666
201	393931.3372
202	393685.3631
203	393360.1681
204	392919.3353
205	391785.3214
206	391271.2182
207	390866.5247
208	390062.5052
209	389614.881
210	389371.6572
211	389164.8846
212	388916.9588
213	387967.5342
214	387826.5466
215	386486.6732
216	386190.2583
217	385903.0686
218	385280.6356
219	384384.3694
220	383548.2382
221	382643.4414
222	382203.7492
223	381791.0683
224	381339.6145
225	380778.1639
226	380261.3017
227	379943.6083
228	379173.5998
229	377981.1526
230	377744.53
231	377084.5596
232	376951.7634
233	376651.534
234	376062.9971
235	375769.4692
236	375469.6331
237	374826.7131
238	373955.1198
239	373580.3529
240	373363.587
241	373080.3443
242	372785.9224
243	372519.5555
244	371941.5143
245	371685.0816
246	371333.0581
247	370751.4121
248	370216.2595
249	369529.0934
250	368738.2511
251	368396.6708
252	368156.9288
253	367867.0063
254	367523.0309
255	367137.8475
256	366670.6106
257	366571.8425
258	366362.8062
259	366174.3936
260	365761.521
261	365392.7323
262	364901.2253
263	364299.1969
264	364060.921
265	363761.8436
266	363087.8471
267	362853.6125
268	362136.4841
269	361942.0759
270	361617.2543
271	361205.0247
272	360114.5513
273	360013.0236
274	359683.5803
275	359511.7973
276	359236.8222
277	359092.3461
278	358706.983
279	358535.3445
280	357923.9621
281	357701.4832
282	357402.6907
283	357077.4966
284	356853.1782
285	356584.2201
286	356173.0574
287	355323.9308
288	355092.2079
289	354646.2628
290	354114.1738
291	354014.2571
292	353615.0567
293	352963.3047
294	352490.7268
295	352182.7206
296	352005.2803
297	351575.893
298	351085.4611
299	351021.5943
