iter	Passed	Remaining
0	73	73746
1	80	40343
2	87	29046
3	93	23162
4	100	19998
5	107	17803
6	111	15876
7	117	14576
8	121	13433
9	127	12574
10	132	11875
11	137	11287
12	141	10752
13	146	10305
14	150	9907
15	155	9545
16	161	9315
17	165	9041
18	171	8877
19	180	8855
20	186	8684
21	194	8629
22	203	8638
23	212	8625
24	216	8454
25	221	8312
26	226	8155
27	231	8021
28	236	7905
29	240	7777
30	245	7682
31	251	7602
32	256	7527
33	262	7446
34	266	7348
35	271	7270
36	276	7200
37	281	7133
38	286	7054
39	291	6991
40	295	6920
41	300	6859
42	305	6793
43	310	6738
44	314	6681
45	321	6662
46	326	6622
47	332	6585
48	338	6561
49	343	6517
50	347	6470
51	352	6423
52	357	6389
53	362	6348
54	367	6308
55	371	6260
56	377	6240
57	381	6200
58	385	6147
59	389	6098
60	392	6047
61	398	6034
62	403	5997
63	408	5973
64	413	5944
65	418	5929
66	422	5884
67	427	5853
68	430	5809
69	435	5789
70	440	5760
71	445	5743
72	451	5738
73	455	5702
74	460	5682
75	464	5648
76	468	5621
77	474	5610
78	479	5595
79	485	5587
80	492	5588
81	497	5565
82	503	5558
83	507	5535
84	513	5526
85	519	5516
86	523	5497
87	529	5482
88	533	5460
89	539	5455
90	545	5446
91	549	5424
92	555	5413
93	561	5411
94	566	5399
95	574	5405
96	579	5391
97	585	5389
98	589	5369
99	595	5360
100	601	5350
101	605	5332
102	615	5358
103	626	5398
104	635	5413
105	642	5420
106	650	5428
107	658	5437
108	668	5466
109	675	5464
110	682	5466
111	691	5484
112	703	5522
113	714	5555
114	723	5569
115	727	5546
116	732	5529
117	740	5531
118	750	5557
119	758	5559
120	763	5546
121	769	5539
122	775	5529
123	781	5518
124	786	5507
125	792	5495
126	796	5477
127	802	5463
128	806	5446
129	812	5437
130	818	5427
131	824	5418
132	832	5425
133	840	5429
134	845	5419
135	850	5403
136	856	5397
137	862	5388
138	868	5381
139	875	5375
140	882	5373
141	888	5365
142	894	5358
143	899	5348
144	906	5346
145	912	5338
146	919	5334
147	927	5337
148	932	5323
149	936	5306
150	941	5291
151	948	5292
152	954	5285
153	960	5278
154	966	5269
155	974	5270
156	980	5265
157	985	5250
158	991	5243
159	998	5242
160	1003	5230
161	1008	5216
162	1012	5199
163	1015	5179
164	1019	5158
165	1025	5151
166	1030	5141
167	1037	5140
168	1043	5132
169	1048	5118
170	1054	5112
171	1060	5106
172	1066	5096
173	1070	5082
174	1074	5067
175	1079	5055
176	1083	5037
177	1087	5023
178	1092	5010
179	1097	5001
180	1102	4990
181	1108	4982
182	1114	4976
183	1120	4969
184	1125	4960
185	1132	4955
186	1137	4946
187	1143	4940
188	1151	4940
189	1157	4935
190	1162	4925
191	1166	4910
192	1170	4894
193	1176	4888
194	1182	4879
195	1188	4876
196	1195	4871
197	1202	4870
198	1206	4857
199	1212	4848
200	1216	4836
201	1222	4829
202	1228	4823
203	1233	4812
204	1239	4806
205	1246	4805
206	1251	4795
207	1257	4789
208	1264	4785
209	1268	4771
210	1272	4759
211	1277	4747
212	1281	4734
213	1287	4728
214	1293	4722
215	1297	4709
216	1301	4695
217	1307	4691
218	1314	4689
219	1321	4686
220	1328	4682
221	1333	4672
222	1337	4659
223	1341	4646
224	1346	4639
225	1353	4636
226	1360	4634
227	1367	4628
228	1373	4623
229	1379	4618
230	1385	4612
231	1391	4607
232	1397	4599
233	1404	4596
234	1408	4585
235	1413	4577
236	1419	4571
237	1425	4564
238	1431	4557
239	1437	4551
240	1444	4549
241	1450	4543
242	1456	4537
243	1464	4537
244	1469	4527
245	1479	4533
246	1484	4525
247	1495	4535
248	1500	4526
249	1507	4521
250	1513	4516
251	1518	4506
252	1526	4507
253	1537	4514
254	1548	4524
255	1559	4530
256	1568	4535
257	1579	4543
258	1589	4548
259	1599	4551
260	1610	4558
261	1619	4561
262	1630	4570
263	1637	4563
264	1643	4559
265	1649	4551
266	1656	4548
267	1662	4541
268	1669	4536
269	1676	4531
270	1683	4529
271	1689	4521
272	1696	4518
273	1702	4510
274	1710	4508
275	1716	4503
276	1722	4496
277	1729	4490
278	1734	4481
279	1741	4478
280	1745	4466
281	1751	4458
282	1756	4451
283	1761	4440
284	1767	4434
285	1771	4423
286	1777	4415
287	1782	4406
288	1787	4398
289	1794	4393
290	1799	4384
291	1803	4373
292	1812	4373
293	1818	4367
294	1825	4362
295	1831	4355
296	1836	4347
297	1843	4342
298	1849	4336
299	1853	4324
300	1859	4317
301	1865	4311
302	1872	4307
303	1877	4299
304	1882	4288
305	1886	4278
306	1892	4271
307	1898	4265
308	1904	4259
309	1910	4251
310	1917	4247
311	1922	4240
312	1928	4233
313	1932	4222
314	1938	4216
315	1944	4209
316	1950	4203
317	1956	4196
318	1963	4191
319	1968	4183
320	1972	4172
321	1980	4169
322	1986	4163
323	1992	4157
324	1998	4150
325	2001	4138
326	2007	4132
327	2014	4127
328	2019	4119
329	2025	4111
330	2032	4107
331	2037	4099
332	2042	4091
333	2047	4081
334	2052	4074
335	2056	4063
336	2059	4052
337	2064	4043
338	2070	4037
339	2076	4030
340	2081	4022
341	2085	4012
342	2090	4003
343	2096	3997
344	2101	3990
345	2107	3984
346	2113	3977
347	2119	3971
348	2124	3963
349	2132	3960
350	2137	3952
351	2142	3944
352	2148	3938
353	2154	3932
354	2160	3925
355	2164	3916
356	2171	3910
357	2177	3904
358	2180	3893
359	2184	3883
360	2190	3878
361	2196	3871
362	2204	3869
363	2210	3861
364	2215	3853
365	2223	3852
366	2229	3845
367	2236	3840
368	2244	3837
369	2251	3833
370	2257	3827
371	2264	3822
372	2271	3818
373	2277	3811
374	2282	3803
375	2286	3795
376	2292	3787
377	2297	3779
378	2303	3774
379	2311	3771
380	2317	3765
381	2324	3760
382	2331	3756
383	2338	3751
384	2347	3750
385	2356	3747
386	2363	3743
387	2368	3735
388	2373	3727
389	2378	3720
390	2385	3714
391	2393	3712
392	2400	3708
393	2404	3698
394	2410	3692
395	2417	3687
396	2425	3684
397	2430	3676
398	2436	3670
399	2442	3663
400	2449	3658
401	2455	3652
402	2460	3645
403	2465	3637
404	2471	3631
405	2479	3627
406	2484	3619
407	2491	3615
408	2497	3609
409	2503	3602
410	2508	3594
411	2516	3590
412	2521	3584
413	2527	3578
414	2534	3572
415	2540	3567
416	2545	3558
417	2550	3551
418	2555	3543
419	2561	3537
420	2566	3529
421	2573	3524
422	2578	3517
423	2582	3508
424	2588	3501
425	2594	3495
426	2598	3487
427	2604	3481
428	2610	3475
429	2615	3466
430	2618	3457
431	2622	3448
432	2628	3441
433	2633	3434
434	2639	3427
435	2644	3421
436	2649	3413
437	2654	3406
438	2661	3400
439	2669	3396
440	2677	3394
441	2683	3387
442	2688	3380
443	2694	3373
444	2700	3367
445	2706	3361
446	2712	3355
447	2717	3348
448	2722	3340
449	2727	3333
450	2731	3325
451	2736	3318
452	2741	3310
453	2748	3305
454	2754	3299
455	2761	3294
456	2768	3289
457	2773	3282
458	2779	3276
459	2785	3269
460	2791	3263
461	2799	3259
462	2804	3253
463	2811	3247
464	2815	3239
465	2821	3233
466	2826	3226
467	2831	3218
468	2838	3213
469	2843	3206
470	2850	3201
471	2855	3194
472	2861	3188
473	2866	3181
474	2872	3175
475	2877	3168
476	2882	3160
477	2887	3153
478	2893	3146
479	2897	3138
480	2901	3130
481	2905	3122
482	2910	3114
483	2916	3108
484	2921	3101
485	2925	3093
486	2931	3088
487	2936	3080
488	2942	3074
489	2946	3066
490	2951	3059
491	2958	3054
492	2965	3049
493	2970	3042
494	2977	3038
495	2983	3031
496	2989	3025
497	2994	3018
498	3000	3012
499	3007	3007
500	3015	3003
501	3020	2996
502	3027	2991
503	3033	2984
504	3038	2978
505	3044	2972
506	3050	2966
507	3054	2957
508	3060	2952
509	3066	2946
510	3072	2940
511	3079	2935
512	3085	2928
513	3091	2923
514	3098	2918
515	3103	2911
516	3109	2904
517	3115	2898
518	3120	2892
519	3125	2884
520	3129	2877
521	3135	2871
522	3141	2865
523	3148	2860
524	3153	2852
525	3159	2847
526	3166	2841
527	3174	2837
528	3184	2835
529	3195	2833
530	3201	2827
531	3207	2821
532	3213	2815
533	3220	2810
534	3226	2804
535	3231	2797
536	3236	2790
537	3243	2785
538	3250	2779
539	3256	2774
540	3262	2767
541	3268	2762
542	3274	2755
543	3278	2747
544	3282	2740
545	3288	2734
546	3293	2727
547	3299	2721
548	3305	2715
549	3310	2708
550	3314	2700
551	3319	2694
552	3325	2688
553	3330	2681
554	3337	2675
555	3342	2669
556	3349	2664
557	3354	2657
558	3360	2650
559	3365	2644
560	3371	2638
561	3377	2632
562	3383	2626
563	3388	2619
564	3394	2613
565	3401	2608
566	3408	2603
567	3416	2598
568	3422	2592
569	3429	2587
570	3435	2581
571	3442	2575
572	3446	2568
573	3453	2563
574	3461	2558
575	3466	2552
576	3473	2546
577	3478	2539
578	3485	2534
579	3489	2527
580	3496	2521
581	3501	2514
582	3507	2509
583	3514	2503
584	3520	2497
585	3526	2491
586	3532	2485
587	3537	2478
588	3542	2472
589	3548	2465
590	3553	2459
591	3558	2452
592	3563	2445
593	3570	2440
594	3575	2434
595	3581	2428
596	3589	2422
597	3593	2415
598	3598	2409
599	3604	2402
600	3609	2396
601	3615	2390
602	3622	2385
603	3630	2380
604	3637	2374
605	3643	2368
606	3650	2363
607	3654	2356
608	3660	2350
609	3667	2344
610	3672	2338
611	3678	2332
612	3684	2326
613	3691	2320
614	3698	2315
615	3704	2309
616	3709	2302
617	3713	2295
618	3721	2290
619	3726	2284
620	3734	2279
621	3739	2272
622	3745	2266
623	3752	2260
624	3756	2254
625	3762	2248
626	3768	2241
627	3774	2236
628	3783	2231
629	3788	2225
630	3794	2219
631	3800	2213
632	3806	2206
633	3812	2200
634	3818	2194
635	3823	2188
636	3828	2181
637	3833	2175
638	3838	2168
639	3844	2162
640	3850	2156
641	3855	2149
642	3858	2142
643	3865	2136
644	3871	2130
645	3875	2123
646	3881	2117
647	3888	2112
648	3893	2105
649	3899	2099
650	3904	2093
651	3909	2086
652	3914	2080
653	3919	2073
654	3925	2067
655	3932	2061
656	3939	2056
657	3943	2049
658	3949	2043
659	3955	2037
660	3962	2032
661	3968	2026
662	3973	2019
663	3980	2014
664	3984	2007
665	3990	2001
666	3996	1995
667	4003	1989
668	4009	1983
669	4016	1978
670	4022	1972
671	4029	1966
672	4034	1960
673	4041	1955
674	4047	1948
675	4054	1943
676	4062	1938
677	4066	1931
678	4073	1925
679	4080	1920
680	4085	1913
681	4090	1907
682	4097	1901
683	4102	1895
684	4108	1889
685	4114	1883
686	4121	1877
687	4127	1871
688	4134	1866
689	4140	1860
690	4147	1854
691	4154	1849
692	4160	1843
693	4166	1837
694	4170	1830
695	4176	1824
696	4182	1818
697	4188	1812
698	4193	1805
699	4202	1800
700	4208	1795
701	4213	1788
702	4219	1782
703	4224	1776
704	4230	1770
705	4236	1764
706	4242	1758
707	4249	1752
708	4256	1746
709	4261	1740
710	4265	1733
711	4275	1729
712	4280	1723
713	4287	1717
714	4293	1711
715	4300	1705
716	4304	1699
717	4310	1692
718	4315	1686
719	4321	1680
720	4328	1674
721	4335	1669
722	4340	1662
723	4345	1656
724	4351	1650
725	4358	1644
726	4363	1638
727	4369	1632
728	4375	1626
729	4382	1620
730	4386	1614
731	4392	1608
732	4398	1602
733	4405	1596
734	4411	1590
735	4415	1583
736	4419	1577
737	4424	1570
738	4429	1564
739	4433	1557
740	4438	1551
741	4442	1544
742	4447	1538
743	4454	1532
744	4461	1526
745	4466	1520
746	4473	1515
747	4479	1508
748	4485	1503
749	4490	1496
750	4497	1491
751	4503	1485
752	4509	1479
753	4514	1472
754	4521	1467
755	4526	1461
756	4533	1455
757	4539	1449
758	4545	1443
759	4551	1437
760	4558	1431
761	4564	1425
762	4568	1418
763	4574	1413
764	4581	1407
765	4587	1401
766	4593	1395
767	4597	1388
768	4602	1382
769	4608	1376
770	4614	1370
771	4619	1364
772	4626	1358
773	4631	1352
774	4636	1346
775	4640	1339
776	4647	1333
777	4653	1327
778	4659	1321
779	4665	1315
780	4672	1310
781	4680	1304
782	4685	1298
783	4691	1292
784	4696	1286
785	4700	1279
786	4706	1273
787	4711	1267
788	4716	1261
789	4720	1254
790	4726	1248
791	4735	1243
792	4740	1237
793	4746	1231
794	4751	1225
795	4757	1219
796	4764	1213
797	4770	1207
798	4775	1201
799	4782	1195
800	4787	1189
801	4793	1183
802	4799	1177
803	4806	1171
804	4812	1165
805	4817	1159
806	4822	1153
807	4828	1147
808	4834	1141
809	4842	1135
810	4847	1129
811	4853	1123
812	4859	1117
813	4864	1111
814	4870	1105
815	4877	1099
816	4883	1093
817	4888	1087
818	4896	1082
819	4902	1076
820	4909	1070
821	4914	1064
822	4922	1058
823	4928	1052
824	4934	1046
825	4943	1041
826	4950	1035
827	4956	1029
828	4962	1023
829	4968	1017
830	4975	1011
831	4982	1006
832	4986	999
833	4992	993
834	4999	987
835	5006	982
836	5010	975
837	5017	969
838	5022	963
839	5027	957
840	5035	951
841	5042	946
842	5049	940
843	5053	934
844	5058	927
845	5066	922
846	5072	916
847	5080	910
848	5086	904
849	5093	898
850	5099	892
851	5105	886
852	5112	881
853	5119	875
854	5123	868
855	5130	863
856	5136	857
857	5141	850
858	5147	844
859	5153	838
860	5160	833
861	5166	827
862	5172	821
863	5177	814
864	5183	808
865	5190	803
866	5195	796
867	5202	791
868	5210	785
869	5217	779
870	5223	773
871	5229	767
872	5236	761
873	5243	755
874	5249	749
875	5254	743
876	5259	737
877	5266	731
878	5274	726
879	5281	720
880	5289	714
881	5294	708
882	5301	702
883	5308	696
884	5313	690
885	5320	684
886	5324	678
887	5331	672
888	5337	666
889	5346	660
890	5352	654
891	5358	648
892	5362	642
893	5366	636
894	5373	630
895	5378	624
896	5385	618
897	5392	612
898	5396	606
899	5400	600
900	5408	594
901	5415	588
902	5420	582
903	5425	576
904	5431	570
905	5438	564
906	5444	558
907	5450	552
908	5457	546
909	5463	540
910	5470	534
911	5476	528
912	5481	522
913	5487	516
914	5492	510
915	5497	504
916	5504	498
917	5511	492
918	5518	486
919	5523	480
920	5527	474
921	5534	468
922	5540	462
923	5545	456
924	5551	450
925	5557	444
926	5563	438
927	5569	432
928	5575	426
929	5582	420
930	5588	414
931	5594	408
932	5600	402
933	5607	396
934	5613	390
935	5620	384
936	5625	378
937	5631	372
938	5637	366
939	5642	360
940	5649	354
941	5654	348
942	5660	342
943	5665	336
944	5671	330
945	5677	324
946	5682	318
947	5689	312
948	5696	306
949	5700	300
950	5708	294
951	5713	288
952	5720	282
953	5726	276
954	5730	270
955	5739	264
956	5744	258
957	5750	252
958	5756	246
959	5760	240
960	5764	233
961	5770	227
962	5776	221
963	5783	215
964	5790	210
965	5798	204
966	5804	198
967	5810	192
968	5817	186
969	5821	180
970	5827	174
971	5834	168
972	5838	162
973	5844	156
974	5850	150
975	5855	143
976	5862	138
977	5868	132
978	5873	125
979	5879	119
980	5886	114
981	5893	108
982	5900	102
983	5906	96
984	5914	90
985	5921	84
986	5927	78
987	5932	72
988	5938	66
989	5943	60
990	5950	54
991	5955	48
992	5961	42
993	5966	36
994	5971	30
995	5977	24
996	5983	18
997	5988	12
998	5994	6
999	6002	0
